id,name,date_of_birth,height,weight,spike,block,link
161,Hattaya Bamrungsuk,12/08/1993,178,62,289,275,Players.asp?Tourn=WGP2010&Team=THA&No=123015
162,Pleumjit Thinkaow,9/11/1983,180,67,303,283,Players.asp?Tourn=WGP2010&Team=THA&No=113352
163,Onuma Sittirak,13/06/1986,175,72,304,285,Players.asp?Tourn=WGP2010&Team=THA&No=114638
164,Patcharee Deesamer,3/02/1989,180,74,306,293,Players.asp?Tourn=WGP2010&Team=THA&No=118997
165,Utaiwan Kaensing,7/09/1988,189,86,310,295,Players.asp?Tourn=WGP2010&Team=THA&No=119005
166,Jurairat Ponleka,6/10/1991,181,65,290,280,Players.asp?Tourn=WGP2010&Team=THA&No=124267
167,Wilavan Apinyapong,6/06/1984,174,70,294,282,Players.asp?Tourn=WGP2010&Team=THA&No=113916
168,Amporn Hyapha,19/05/1985,180,70,301,290,Players.asp?Tourn=WGP2010&Team=THA&No=113358
169,Kamonporn Sukmak,29/02/1988,174,63,285,275,Players.asp?Tourn=WGP2010&Team=THA&No=114583
170,Nootsara Tomkom,7/07/1985,169,57,289,278,Players.asp?Tourn=WGP2010&Team=THA&No=113917
171,Jarasporn Bundasak,1/03/1993,180,66,280,290,Players.asp?Tourn=WGP2010&Team=THA&No=132546
172,Malika Kanthong,8/01/1987,178,65,292,278,Players.asp?Tourn=WGP2010&Team=THA&No=114283
173,Sontaya Keawbundit,9/02/1991,177,68,290,280,Players.asp?Tourn=WGP2010&Team=THA&No=124062
174,Wanitchaya Luangtonglang,8/10/1992,175,51,295,280,Players.asp?Tourn=WGP2010&Team=THA&No=122864
175,Em-orn Phanusit,25/03/1988,179,70,302,291,Players.asp?Tourn=WGP2010&Team=THA&No=119012
176,Tapaphaipun Chaisri,29/11/1989,168,70,295,276,Players.asp?Tourn=WGP2010&Team=THA&No=118998
177,Yin Feng Tsai,6/11/1984,181,75,291,280,Players.asp?Tourn=WGP2010&Team=TPE&No=113021
178,Wan Ting Chen,25/11/1990,178,67,290,280,Players.asp?Tourn=WGP2010&Team=TPE&No=116506
179,Wan Ju Liao,19/04/1984,175,68,290,275,Players.asp?Tourn=WGP2010&Team=TPE&No=112378
180,Ko Jou Wu,17/11/1985,175,75,285,275,Players.asp?Tourn=WGP2010&Team=TPE&No=113025
181,Pei Ling Yen,5/01/1986,174,65,270,268,Players.asp?Tourn=WGP2010&Team=TPE&No=113028
182,Yi Ting Hsieh,7/10/1987,166,62,265,250,Players.asp?Tourn=WGP2010&Team=TPE&No=132220
183,Yen Chih Ho,26/11/1987,171,63,280,270,Players.asp?Tourn=WGP2010&Team=TPE&No=132219
184,Szu Chi Huang,31/03/1988,180,69,285,275,Players.asp?Tourn=WGP2010&Team=TPE&No=116500
185,Shu Fen Wu,7/04/1989,175,68,281,272,Players.asp?Tourn=WGP2010&Team=TPE&No=116508
186,Ya Chu Yang,8/07/1991,173,62,278,268,Players.asp?Tourn=WGP2010&Team=TPE&No=122515
187,Meng Hua Yang,15/08/1991,170,68,270,262,Players.asp?Tourn=WGP2010&Team=TPE&No=122514
188,I Tzu Wen,31/10/1991,175,64,281,273,Players.asp?Tourn=WGP2010&Team=TPE&No=122519
189,Alisha Glass,5/04/1988,184,72,305,300,Players.asp?Tourn=WGP2010&Team=USA&No=132576
190,Christa Harmotto Dietzen,12/10/1986,188,79,322,300,Players.asp?Tourn=WGP2010&Team=USA&No=115496
191,Angela Forsett,6/06/1986,173,74,320,315,Players.asp?Tourn=WGP2010&Team=USA&No=124095
192,Stacy Sykora,24/06/1977,176,61,305,295,Players.asp?Tourn=WGP2010&Team=USA&No=113367
193,Nicole Davis,24/04/1982,167,73,284,266,Players.asp?Tourn=WGP2010&Team=USA&No=112581
194,Heather Bown,29/11/1978,188,90,301,290,Players.asp?Tourn=WGP2010&Team=USA&No=113369
195,Cynthia Barboza,7/02/1987,183,68,311,301,Players.asp?Tourn=WGP2010&Team=USA&No=112592
196,Jennifer Tamas,23/11/1982,191,82,315,301,Players.asp?Tourn=WGP2010&Team=USA&No=114061
197,Courtney Thompson,4/11/1984,170,66,276,263,Players.asp?Tourn=WGP2010&Team=USA&No=119055
198,Jordan Larson,16/10/1986,188,75,302,295,Players.asp?Tourn=WGP2010&Team=USA&No=114051
199,Nancy Metcalf,12/11/1978,186,73,314,292,Players.asp?Tourn=WGP2010&Team=USA&No=113376
200,Lauren Paolini,22/08/1987,193,73,317,299,Players.asp?Tourn=WGP2010&Team=USA&No=124255
201,Nicole Fawcett,16/12/1986,191,82,310,291,Players.asp?Tourn=WGP2010&Team=USA&No=114059
202,Logan Tom,25/05/1981,186,80,306,297,Players.asp?Tourn=WGP2010&Team=USA&No=113373
203,Foluke Akinradewo,5/10/1987,191,79,331,300,Players.asp?Tourn=WGP2010&Team=USA&No=115495
204,Mary Spicer,3/07/1987,175,65,292,280,Players.asp?Tourn=WGP2010&Team=USA&No=115500
205,Megan Easy,15/10/1988,191,80,320,297,Players.asp?Tourn=WGP2010&Team=USA&No=115857
206,Destinee Hooker,7/09/1987,193,73,320,304,Players.asp?Tourn=WGP2010&Team=USA&No=132049
