pk,id,name,link,date_of_birth,height,weight,spike,block,age,images,position
38,38,Ai Kurogo,/en/volleyball/worldcup/2019/women/teams/jpn-japan/players/ai-kurogo?id=77093,14/06/1998,180,69,306,295,22,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87302&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
39,39,Akane Moriya,/en/volleyball/worldcup/2019/women/teams/jpn-japan/players/akane-moriya?id=77104,08/01/1991,165,55,282,260,29,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87309&type=Press&width=300&height=450&stretch=uniformtofill,Libero
40,40,Aika Akutagawa,/en/volleyball/worldcup/2019/women/teams/jpn-japan/players/aika-akutagawa?id=77088,03/04/1991,180,62,304,280,29,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87287&type=Press&width=300&height=450&stretch=uniformtofill,Middle blocker
41,41,Mayu Ishikawa,/en/volleyball/worldcup/2019/women/teams/jpn-japan/players/mayu-ishikawa?id=77107,14/05/2000,173,66,300,290,20,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87307&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
42,42,Xinyue Yuan,/en/volleyball/worldcup/2019/women/teams/chn-china/players/xinyue-yuan?id=76985,21/12/1996,201,78,317,311,24,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87265&type=Press&width=300&height=450&stretch=uniformtofill,Middle blocker
43,43,Ting Zhu,/en/volleyball/worldcup/2019/women/teams/chn-china/players/ting-zhu?id=76989,29/11/1994,198,78,327,300,26,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87261&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
44,44,Xiangyu Gong,/en/volleyball/worldcup/2019/women/teams/chn-china/players/xiangyu-gong?id=76971,21/04/1997,186,72,313,302,23,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87271&type=Press&width=300&height=450&stretch=uniformtofill,Opposite spiker
45,45,Yuanyuan Wang,/en/volleyball/worldcup/2019/women/teams/chn-china/players/yuanyuan-wang?id=76981,14/07/1997,195,75,312,300,23,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87269&type=Press&width=300&height=450&stretch=uniformtofill,Middle blocker
46,46,Changning Zhang,/en/volleyball/worldcup/2019/women/teams/chn-china/players/changning-zhang?id=76987,06/11/1995,193,80,315,303,25,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87258&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
47,47,Xiaotong Liu,/en/volleyball/worldcup/2019/women/teams/chn-china/players/xiaotong-liu?id=76975,16/02/1990,188,80,312,300,30,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87257&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
48,48,Di Yao,/en/volleyball/worldcup/2019/women/teams/chn-china/players/di-yao?id=76993,15/08/1992,182,65,306,298,28,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87255&type=Press&width=300&height=450&stretch=uniformtofill,Setter
49,49,Yingying Li,/en/volleyball/worldcup/2019/women/teams/chn-china/players/yingying-li?id=76973,19/02/2000,192,71,302,294,20,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87272&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
50,50,Yixin Zheng,/en/volleyball/worldcup/2019/women/teams/chn-china/players/yixin-zheng?id=76992,06/05/1995,187,71,316,307,25,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87263&type=Press&width=300&height=450&stretch=uniformtofill,Middle blocker
51,51,Li Lin,/en/volleyball/worldcup/2019/women/teams/chn-china/players/li-lin?id=76974,05/07/1992,171,65,294,294,28,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87260&type=Press&width=300&height=450&stretch=uniformtofill,Libero
52,52,Xia Ding,/en/volleyball/worldcup/2019/women/teams/chn-china/players/xia-ding?id=76968,13/01/1990,180,67,305,300,30,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87256&type=Press&width=300&height=450&stretch=uniformtofill,Setter
53,53,Ni Yan,/en/volleyball/worldcup/2019/women/teams/chn-china/players/ni-yan?id=76983,02/03/1987,192,74,317,306,33,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87267&type=Press&width=300&height=450&stretch=uniformtofill,Middle blocker
