competition_name,competition_year,team,name,date_of_birth,curr_age,height,weight,spike,block,player_page,player_image,nationality,position,short_position
World Cup,2019,http:///,Trizah Atuka,1992-01-14,29,188,65,298,293,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/ken-kenya/players/trizah_atuka?id=77144,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87868&Type=Press&height=450&stretch=uniformtofill&width=300,KEN,Middle blocker,MB
World Cup,2019,http:///,Elizabeth Wanyama,1987-01-27,34,174,68,270,260,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/ken-kenya/players/elizabeth_wanyama?id=77167,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87864&Type=Press&height=450&stretch=uniformtofill&width=300,KEN,Libero,L
World Cup,2019,http:///,Noel Murambi,1989-01-29,32,178,68,302,297,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/ken-kenya/players/noel_murambi?id=77161,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87865&Type=Press&height=450&stretch=uniformtofill&width=300,KEN,Opposite spiker,OPP
World Cup,2019,http:///,Carolyne Sirengo,1997-01-04,24,179,70,280,240,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/ken-kenya/players/carolyne_sirengo?id=77163,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87875&Type=Press&height=450&stretch=uniformtofill&width=300,04/11/1997,Middle blocker,MB
World Cup,2019,http:///,Mercy Moimc,1989-01-01,32,183,72,320,308,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/ken-kenya/players/mercy_moim?id=77158,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87859&Type=Press&height=450&stretch=uniformtofill&width=300,KEN Prisons,Wing spiker,OH
World Cup,2019,http:///,Lorine Chebet Kaei,1999-01-08,22,179,69,285,270,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/ken-kenya/players/lorine_chebet_kaei?id=77149,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87878&Type=Press&height=450&stretch=uniformtofill&width=300,KEN,Middle blocker,MB
World Cup,2019,http:///,Agripina Khayesi Kundu,1993-01-24,28,174,63,260,250,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/ken-kenya/players/agripina_khayesi_kundu?id=77154,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87873&Type=Press&height=450&stretch=uniformtofill&width=300,KEN,Libero,L
World Cup,2019,http:///,Emmaculate Chemtai,1993-01-14,28,180,68,300,285,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/ken-kenya/players/emmaculate_chemtai?id=77168,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87871&Type=Press&height=450&stretch=uniformtofill&width=300,KEN,Opposite spiker,OPP
World Cup,2019,http:///,Edith Mukuvilani,1994-01-20,27,184,72,298,292,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/ken-kenya/players/edith_mukuvilani?id=77159,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87869&Type=Press&height=450&stretch=uniformtofill&width=300,KEN,Middle blocker,MB
World Cup,2019,http:///,Jordyn Poulter,1997-01-31,24,188,77,306,295,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/usa-usa/players/jordyn_poulter?id=77034,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88781&Type=Press&height=450&stretch=uniformtofill&width=300,USA,Setter,S
World Cup,2019,http:///,Justine Wong-Orantes,1995-01-06,26,168,66,282,277,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/usa-usa/players/justine_wong-orantes?id=77044,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88468&Type=Press&height=450&stretch=uniformtofill&width=300,USA,Libero,L
World Cup,2019,http:///,Tetori Dixon,1992-01-04,29,191,83,306,295,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/usa-usa/players/tetori_dixon?id=77026,/images/player_default_w.png,USA,Middle blocker,MB
World Cup,2019,http:///,Lauren Carlini,1995-01-28,26,185,75,302,295,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/usa-usa/players/lauren_carlini?id=77023,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88461&Type=Press&height=450&stretch=uniformtofill&width=300,USA,Setter,S
World Cup,2019,http:///,Jordan Larsonc,1986-01-16,35,188,75,302,295,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/usa-usa/players/jordan_larson?id=77031,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88458&Type=Press&height=450&stretch=uniformtofill&width=300,Eczacibasi Vitra Istanbul,Wing spiker,OH
World Cup,2019,http:///,Andrea Drews,1993-01-25,28,191,77,316,312,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/usa-usa/players/andrea_drews?id=77027,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88488&Type=Press&height=450&stretch=uniformtofill&width=300,USA,Opposite spiker,OPP
World Cup,2019,http:///,Michelle Bartsch-Hackley,1990-01-12,31,190,78,305,296,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/usa-usa/players/michelle_bartsch-hackley?id=77022,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88460&Type=Press&height=450&stretch=uniformtofill&width=300,USA,Wing spiker,OH
World Cup,2019,http:///,Kimberly Hill,1989-01-30,32,193,72,320,310,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/usa-usa/players/kimberly_hill?id=77030,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88480&Type=Press&height=450&stretch=uniformtofill&width=300,USA,Wing spiker,OH
World Cup,2019,http:///,Megan Courtney,1993-01-27,28,185,61,314,300,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/usa-usa/players/megan_courtney?id=77024,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88489&Type=Press&height=450&stretch=uniformtofill&width=300,USA,Wing spiker,OH
World Cup,2019,http:///,Hannah Tapp,1995-01-21,26,191,77,297,290,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/usa-usa/players/hannah_tapp?id=77040,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88490&Type=Press&height=450&stretch=uniformtofill&width=300,USA,Middle blocker,MB
World Cup,2019,http:///,Haleigh Washington,1995-01-22,26,190,82,307,295,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/usa-usa/players/haleigh_washington?id=77042,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88730&Type=Press&height=450&stretch=uniformtofill&width=300,USA,Middle blocker,MB
World Cup,2019,http:///,Kelsey Robinson,1992-01-25,29,188,73,307,298,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/usa-usa/players/kelsey_robinson?id=77037,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88481&Type=Press&height=450&stretch=uniformtofill&width=300,USA,Wing spiker,OH
World Cup,2019,http:///,Chiaka Ogbogu,1995-01-15,26,188,73,318,307,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/usa-usa/players/chiaka_ogbogu?id=77033,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88838&Type=Press&height=450&stretch=uniformtofill&width=300,USA,Middle blocker,MB
World Cup,2019,http:///,Karsta Lowe,1993-01-02,28,194,75,315,305,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/usa-usa/players/karsta_lowe?id=77032,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88731&Type=Press&height=450&stretch=uniformtofill&width=300,USA,Opposite spiker,OPP
