id,name,date_of_birth,height,weight,spike,block,link
0,name,date_of_birth,height,weight,spike,block,link
137,Mai Yamaguchi,3/07/1983,176,62,304,292,Players.asp?Tourn=WGP2011&Team=JPN&No=122617
138,Makoto Matsuura,9/09/1986,173,69,282,265,Players.asp?Tourn=WGP2011&Team=JPN&No=135409
139,Mizuho Ishida,22/01/1988,174,65,301,286,Players.asp?Tourn=WGP2011&Team=JPN&No=119191
140,Nana Iwasaka,3/07/1990,187,76,298,293,Players.asp?Tourn=WGP2011&Team=JPN&No=135410
141,Erika Shinomiya,3/08/1984,186,78,305,297,Players.asp?Tourn=WGP2011&Team=JPN&No=112717
142,Saori Kimura,19/08/1986,185,65,304,293,Players.asp?Tourn=WGP2011&Team=JPN&No=114038
143,Risa Shinnabe,11/07/1990,175,64,293,285,Players.asp?Tourn=WGP2011&Team=JPN&No=135411
144,Yukiko Ebata,7/11/1989,176,67,305,298,Players.asp?Tourn=WGP2011&Team=JPN&No=132056
145,Maiko Kano,15/07/1988,185,72,303,285,Players.asp?Tourn=WGP2011&Team=JPN&No=122614
146,Saori Sakoda,18/12/1987,175,63,305,279,Players.asp?Tourn=WGP2011&Team=JPN&No=132053
147,Akiko Ino,28/09/1986,168,59,270,260,Players.asp?Tourn=WGP2011&Team=JPN&No=115532
148,Yuki Ishii,8/05/1991,180,67,305,287,Players.asp?Tourn=WGP2011&Team=JPN&No=135416
149,Kanari Hamaguchi,29/08/1985,167,60,283,269,Players.asp?Tourn=WGP2011&Team=JPN&No=122618
150,Ayano Nakaoji,24/07/1991,167,61,290,275,Players.asp?Tourn=WGP2011&Team=JPN&No=135408
151,Tatyana Pyurova,5/04/1982,180,66,298,294,Players.asp?Tourn=WGP2011&Team=KAZ&No=118345
152,Sana Anarkulova,21/07/1989,188,77,300,280,Players.asp?Tourn=WGP2011&Team=KAZ&No=120296
153,Antonina Rubtsova,30/12/1984,184,67,302,275,Players.asp?Tourn=WGP2011&Team=KAZ&No=136446
154,Olga Danchenko,28/12/1982,190,75,305,295,Players.asp?Tourn=WGP2011&Team=KAZ&No=115906
155,Kristina Trubina,5/11/1986,178,64,295,270,Players.asp?Tourn=WGP2011&Team=KAZ&No=136326
156,Alena Ivanova,19/06/1989,195,78,310,300,Players.asp?Tourn=WGP2011&Team=KAZ&No=123607
157,Korinna Ishimtseva,8/02/1984,187,69,300,290,Players.asp?Tourn=WGP2011&Team=KAZ&No=115908
158,Irina Lukomskaya,19/03/1991,176,66,280,270,Players.asp?Tourn=WGP2011&Team=KAZ&No=133662
159,Yelena Ezau,9/03/1983,174,57,265,260,Players.asp?Tourn=WGP2011&Team=KAZ&No=115910
160,Marina Storozhenko,6/06/1985,175,57,290,280,Players.asp?Tourn=WGP2011&Team=KAZ&No=123710
161,Yekaterina Zhdanova,28/05/1992,183,65,280,270,Players.asp?Tourn=WGP2011&Team=KAZ&No=133090
162,Radmila Beresneva,6/06/1983,185,70,300,295,Players.asp?Tourn=WGP2011&Team=KAZ&No=135458
163,Zarina Sitkazinova,20/03/1993,182,70,295,280,Players.asp?Tourn=WGP2011&Team=KAZ&No=133092
164,Irina Kenzhebaeva,20/02/1992,180,73,290,280,Players.asp?Tourn=WGP2011&Team=KAZ&No=133089
165,Inna Matveyeva,12/10/1978,186,70,303,294,Players.asp?Tourn=WGP2011&Team=KAZ&No=115915
166,Olga Drobyshevskaya,22/09/1985,185,75,305,293,Players.asp?Tourn=WGP2011&Team=KAZ&No=118344
